train_size,train_fraction,max_train_samples,label,tn,fp,fn,tp
10000,0.06963157931385042,10000,toxic,14202,227,346,1183
10000,0.06963157931385042,10000,severe_toxic,15797,1,160,0
10000,0.06963157931385042,10000,obscene,15023,90,245,600
10000,0.06963157931385042,10000,threat,15910,0,48,0
10000,0.06963157931385042,10000,insult,15028,142,309,479
10000,0.06963157931385042,10000,identity_hate,15817,0,141,0
20000,0.13926315862770083,20000,toxic,14117,312,257,1272
20000,0.13926315862770083,20000,severe_toxic,15776,22,118,42
20000,0.13926315862770083,20000,obscene,14989,124,160,685
20000,0.13926315862770083,20000,threat,15910,0,47,1
20000,0.13926315862770083,20000,insult,14978,192,193,595
20000,0.13926315862770083,20000,identity_hate,15811,6,121,20
30000,0.20889473794155125,30000,toxic,14055,374,226,1303
30000,0.20889473794155125,30000,severe_toxic,15737,61,97,63
30000,0.20889473794155125,30000,obscene,14949,164,134,711
30000,0.20889473794155125,30000,threat,15910,0,47,1
30000,0.20889473794155125,30000,insult,14971,199,184,604
30000,0.20889473794155125,30000,identity_hate,15802,15,118,23
40000,0.27852631725540167,40000,toxic,14241,188,317,1212
40000,0.27852631725540167,40000,severe_toxic,15762,36,115,45
40000,0.27852631725540167,40000,obscene,14993,120,171,674
40000,0.27852631725540167,40000,threat,15906,4,43,5
40000,0.27852631725540167,40000,insult,14985,185,208,580
40000,0.27852631725540167,40000,identity_hate,15803,14,96,45
50000,0.3481578965692521,50000,toxic,14209,220,293,1236
50000,0.3481578965692521,50000,severe_toxic,15686,112,62,98
50000,0.3481578965692521,50000,obscene,14930,183,124,721
50000,0.3481578965692521,50000,threat,15902,8,36,12
50000,0.3481578965692521,50000,insult,14967,203,180,608
50000,0.3481578965692521,50000,identity_hate,15797,20,90,51
60000,0.4177894758831025,60000,toxic,14234,195,313,1216
60000,0.4177894758831025,60000,severe_toxic,15781,17,135,25
60000,0.4177894758831025,60000,obscene,14944,169,121,724
60000,0.4177894758831025,60000,threat,15906,4,38,10
60000,0.4177894758831025,60000,insult,14936,234,160,628
60000,0.4177894758831025,60000,identity_hate,15790,27,87,54
70000,0.48742105519695295,70000,toxic,14074,355,211,1318
70000,0.48742105519695295,70000,severe_toxic,15769,29,118,42
70000,0.48742105519695295,70000,obscene,14977,136,139,706
70000,0.48742105519695295,70000,threat,15905,5,38,10
70000,0.48742105519695295,70000,insult,14942,228,162,626
70000,0.48742105519695295,70000,identity_hate,15780,37,72,69
80000,0.5570526345108033,80000,toxic,14158,271,270,1259
80000,0.5570526345108033,80000,severe_toxic,15795,3,147,13
80000,0.5570526345108033,80000,obscene,14951,162,124,721
80000,0.5570526345108033,80000,threat,15902,8,33,15
80000,0.5570526345108033,80000,insult,14975,195,182,606
80000,0.5570526345108033,80000,identity_hate,15773,44,70,71
90000,0.6266842138246538,90000,toxic,14280,149,338,1191
90000,0.6266842138246538,90000,severe_toxic,15764,34,114,46
90000,0.6266842138246538,90000,obscene,14960,153,133,712
90000,0.6266842138246538,90000,threat,15901,9,31,17
90000,0.6266842138246538,90000,insult,15005,165,217,571
90000,0.6266842138246538,90000,identity_hate,15791,26,94,47
100000,0.6963157931385042,100000,toxic,14197,232,282,1247
100000,0.6963157931385042,100000,severe_toxic,15761,37,114,46
100000,0.6963157931385042,100000,obscene,14958,155,131,714
100000,0.6963157931385042,100000,threat,15890,20,25,23
100000,0.6963157931385042,100000,insult,14939,231,159,629
100000,0.6963157931385042,100000,identity_hate,15770,47,74,67
110000,0.7659473724523546,110000,toxic,14321,108,392,1137
110000,0.7659473724523546,110000,severe_toxic,15761,37,104,56
110000,0.7659473724523546,110000,obscene,14983,130,158,687
110000,0.7659473724523546,110000,threat,15886,24,23,25
110000,0.7659473724523546,110000,insult,15062,108,281,507
110000,0.7659473724523546,110000,identity_hate,15770,47,67,74
120000,0.835578951766205,120000,toxic,14246,183,324,1205
120000,0.835578951766205,120000,severe_toxic,15696,102,78,82
120000,0.835578951766205,120000,obscene,14942,171,114,731
120000,0.835578951766205,120000,threat,15895,15,25,23
120000,0.835578951766205,120000,insult,14970,200,176,612
120000,0.835578951766205,120000,identity_hate,15775,42,75,66
130000,0.9052105310800554,130000,toxic,14242,187,277,1252
130000,0.9052105310800554,130000,severe_toxic,15780,18,123,37
130000,0.9052105310800554,130000,obscene,15006,107,166,679
130000,0.9052105310800554,130000,threat,15895,15,25,23
130000,0.9052105310800554,130000,insult,14961,209,180,608
130000,0.9052105310800554,130000,identity_hate,15777,40,76,65
140000,0.9748421103939059,140000,toxic,14205,224,264,1265
140000,0.9748421103939059,140000,severe_toxic,15764,34,108,52
140000,0.9748421103939059,140000,obscene,14945,168,120,725
140000,0.9748421103939059,140000,threat,15897,13,24,24
140000,0.9748421103939059,140000,insult,14984,186,176,612
140000,0.9748421103939059,140000,identity_hate,15798,19,86,55
143613,1.0,143613,toxic,14166,263,236,1293
143613,1.0,143613,severe_toxic,15766,32,102,58
143613,1.0,143613,obscene,15008,105,169,676
143613,1.0,143613,threat,15902,8,30,18
143613,1.0,143613,insult,14962,208,166,622
143613,1.0,143613,identity_hate,15765,52,71,70
