train_size,train_fraction,max_train_samples,label,tn,fp,fn,tp
10000,0.06963157931385042,10000,toxic,14187,242,329,1200
10000,0.06963157931385042,10000,severe_toxic,15662,136,58,102
10000,0.06963157931385042,10000,obscene,14950,163,162,683
10000,0.06963157931385042,10000,threat,15683,227,36,12
10000,0.06963157931385042,10000,insult,14953,217,198,590
10000,0.06963157931385042,10000,identity_hate,15685,132,90,51
20000,0.13926315862770083,20000,toxic,14170,259,281,1248
20000,0.13926315862770083,20000,severe_toxic,15711,87,69,91
20000,0.13926315862770083,20000,obscene,15006,107,165,680
20000,0.13926315862770083,20000,threat,15872,38,30,18
20000,0.13926315862770083,20000,insult,14957,213,174,614
20000,0.13926315862770083,20000,identity_hate,15725,92,66,75
30000,0.20889473794155125,30000,toxic,14253,176,345,1184
30000,0.20889473794155125,30000,severe_toxic,15688,110,66,94
30000,0.20889473794155125,30000,obscene,14969,144,144,701
30000,0.20889473794155125,30000,threat,15875,35,31,17
30000,0.20889473794155125,30000,insult,14971,199,184,604
30000,0.20889473794155125,30000,identity_hate,15727,90,73,68
40000,0.27852631725540167,40000,toxic,14223,206,305,1224
40000,0.27852631725540167,40000,severe_toxic,15695,103,67,93
40000,0.27852631725540167,40000,obscene,14937,176,119,726
40000,0.27852631725540167,40000,threat,15879,31,25,23
40000,0.27852631725540167,40000,insult,14945,225,168,620
40000,0.27852631725540167,40000,identity_hate,15775,42,68,73
50000,0.3481578965692521,50000,toxic,14198,231,280,1249
50000,0.3481578965692521,50000,severe_toxic,15669,129,54,106
50000,0.3481578965692521,50000,obscene,14972,141,148,697
50000,0.3481578965692521,50000,threat,15890,20,24,24
50000,0.3481578965692521,50000,insult,14942,228,154,634
50000,0.3481578965692521,50000,identity_hate,15753,64,56,85
60000,0.4177894758831025,60000,toxic,14230,199,307,1222
60000,0.4177894758831025,60000,severe_toxic,15691,107,66,94
60000,0.4177894758831025,60000,obscene,14995,118,151,694
60000,0.4177894758831025,60000,threat,15899,11,26,22
60000,0.4177894758831025,60000,insult,14926,244,151,637
60000,0.4177894758831025,60000,identity_hate,15717,100,46,95
70000,0.48742105519695295,70000,toxic,14247,182,309,1220
70000,0.48742105519695295,70000,severe_toxic,15605,193,32,128
70000,0.48742105519695295,70000,obscene,14965,148,126,719
70000,0.48742105519695295,70000,threat,15890,20,27,21
70000,0.48742105519695295,70000,insult,14916,254,139,649
70000,0.48742105519695295,70000,identity_hate,15740,77,49,92
80000,0.5570526345108033,80000,toxic,14234,195,321,1208
80000,0.5570526345108033,80000,severe_toxic,15626,172,41,119
80000,0.5570526345108033,80000,obscene,14993,120,150,695
80000,0.5570526345108033,80000,threat,15883,27,18,30
80000,0.5570526345108033,80000,insult,14966,204,171,617
80000,0.5570526345108033,80000,identity_hate,15747,70,49,92
90000,0.6266842138246538,90000,toxic,14236,193,297,1232
90000,0.6266842138246538,90000,severe_toxic,15669,129,53,107
90000,0.6266842138246538,90000,obscene,14992,121,149,696
90000,0.6266842138246538,90000,threat,15889,21,19,29
90000,0.6266842138246538,90000,insult,14926,244,142,646
90000,0.6266842138246538,90000,identity_hate,15742,75,45,96
100000,0.6963157931385042,100000,toxic,14221,208,297,1232
100000,0.6963157931385042,100000,severe_toxic,15665,133,54,106
100000,0.6963157931385042,100000,obscene,14980,133,142,703
100000,0.6963157931385042,100000,threat,15880,30,15,33
100000,0.6963157931385042,100000,insult,14954,216,163,625
100000,0.6963157931385042,100000,identity_hate,15739,78,50,91
110000,0.7659473724523546,110000,toxic,14260,169,314,1215
110000,0.7659473724523546,110000,severe_toxic,15625,173,39,121
110000,0.7659473724523546,110000,obscene,14973,140,143,702
110000,0.7659473724523546,110000,threat,15871,39,12,36
110000,0.7659473724523546,110000,insult,14905,265,143,645
110000,0.7659473724523546,110000,identity_hate,15728,89,38,103
120000,0.835578951766205,120000,toxic,14183,246,244,1285
120000,0.835578951766205,120000,severe_toxic,15612,186,40,120
120000,0.835578951766205,120000,obscene,14977,136,135,710
120000,0.835578951766205,120000,threat,15885,25,19,29
120000,0.835578951766205,120000,insult,14956,214,163,625
120000,0.835578951766205,120000,identity_hate,15766,51,58,83
130000,0.9052105310800554,130000,toxic,14242,187,277,1252
130000,0.9052105310800554,130000,severe_toxic,15704,94,63,97
130000,0.9052105310800554,130000,obscene,14921,192,86,759
130000,0.9052105310800554,130000,threat,15892,18,23,25
130000,0.9052105310800554,130000,insult,14913,257,140,648
130000,0.9052105310800554,130000,identity_hate,15757,60,57,84
140000,0.9748421103939059,140000,toxic,14214,215,267,1262
140000,0.9748421103939059,140000,severe_toxic,15657,141,47,113
140000,0.9748421103939059,140000,obscene,14968,145,129,716
140000,0.9748421103939059,140000,threat,15882,28,16,32
140000,0.9748421103939059,140000,insult,14969,201,159,629
140000,0.9748421103939059,140000,identity_hate,15736,81,39,102
143613,1.0,143613,toxic,14240,189,283,1246
143613,1.0,143613,severe_toxic,15679,119,56,104
143613,1.0,143613,obscene,14977,136,128,717
143613,1.0,143613,threat,15900,10,25,23
143613,1.0,143613,insult,14879,291,110,678
143613,1.0,143613,identity_hate,15720,97,37,104
