run_id,label,tn,fp,fn,tp
run_01_lr1.50e-05_wd0.010_warm0.06,toxic,14266,163,305,1224
run_01_lr1.50e-05_wd0.010_warm0.06,severe_toxic,15721,77,69,91
run_01_lr1.50e-05_wd0.010_warm0.06,obscene,14985,128,138,707
run_01_lr1.50e-05_wd0.010_warm0.06,threat,15877,33,13,35
run_01_lr1.50e-05_wd0.010_warm0.06,insult,14931,239,120,668
run_01_lr1.50e-05_wd0.010_warm0.06,identity_hate,15724,93,35,106
run_02_lr1.50e-05_wd0.010_warm0.10,toxic,14217,212,271,1258
run_02_lr1.50e-05_wd0.010_warm0.10,severe_toxic,15720,78,71,89
run_02_lr1.50e-05_wd0.010_warm0.10,obscene,14977,136,126,719
run_02_lr1.50e-05_wd0.010_warm0.10,threat,15872,38,12,36
run_02_lr1.50e-05_wd0.010_warm0.10,insult,14893,277,103,685
run_02_lr1.50e-05_wd0.010_warm0.10,identity_hate,15730,87,40,101
run_03_lr1.50e-05_wd0.015_warm0.06,toxic,14232,197,278,1251
run_03_lr1.50e-05_wd0.015_warm0.06,severe_toxic,15711,87,68,92
run_03_lr1.50e-05_wd0.015_warm0.06,obscene,15014,99,157,688
run_03_lr1.50e-05_wd0.015_warm0.06,threat,15880,30,13,35
run_03_lr1.50e-05_wd0.015_warm0.06,insult,14932,238,117,671
run_03_lr1.50e-05_wd0.015_warm0.06,identity_hate,15750,67,48,93
run_04_lr1.50e-05_wd0.015_warm0.10,toxic,14238,191,279,1250
run_04_lr1.50e-05_wd0.015_warm0.10,severe_toxic,15712,86,65,95
run_04_lr1.50e-05_wd0.015_warm0.10,obscene,14968,145,119,726
run_04_lr1.50e-05_wd0.015_warm0.10,threat,15880,30,14,34
run_04_lr1.50e-05_wd0.015_warm0.10,insult,14935,235,125,663
run_04_lr1.50e-05_wd0.015_warm0.10,identity_hate,15758,59,54,87
run_05_lr1.75e-05_wd0.010_warm0.06,toxic,14237,192,283,1246
run_05_lr1.75e-05_wd0.010_warm0.06,severe_toxic,15646,152,43,117
run_05_lr1.75e-05_wd0.010_warm0.06,obscene,14988,125,140,705
run_05_lr1.75e-05_wd0.010_warm0.06,threat,15894,16,21,27
run_05_lr1.75e-05_wd0.010_warm0.06,insult,14928,242,119,669
run_05_lr1.75e-05_wd0.010_warm0.06,identity_hate,15751,66,49,92
run_06_lr1.75e-05_wd0.010_warm0.10,toxic,14214,215,265,1264
run_06_lr1.75e-05_wd0.010_warm0.10,severe_toxic,15721,77,71,89
run_06_lr1.75e-05_wd0.010_warm0.10,obscene,14978,135,128,717
run_06_lr1.75e-05_wd0.010_warm0.10,threat,15877,33,14,34
run_06_lr1.75e-05_wd0.010_warm0.10,insult,14935,235,119,669
run_06_lr1.75e-05_wd0.010_warm0.10,identity_hate,15712,105,33,108
run_07_lr1.75e-05_wd0.015_warm0.06,toxic,14248,181,290,1239
run_07_lr1.75e-05_wd0.015_warm0.06,severe_toxic,15722,76,69,91
run_07_lr1.75e-05_wd0.015_warm0.06,obscene,14989,124,139,706
run_07_lr1.75e-05_wd0.015_warm0.06,threat,15891,19,19,29
run_07_lr1.75e-05_wd0.015_warm0.06,insult,14930,240,122,666
run_07_lr1.75e-05_wd0.015_warm0.06,identity_hate,15726,91,38,103
run_08_lr1.75e-05_wd0.015_warm0.10,toxic,14210,219,266,1263
run_08_lr1.75e-05_wd0.015_warm0.10,severe_toxic,15709,89,66,94
run_08_lr1.75e-05_wd0.015_warm0.10,obscene,14959,154,115,730
run_08_lr1.75e-05_wd0.015_warm0.10,threat,15887,23,17,31
run_08_lr1.75e-05_wd0.015_warm0.10,insult,14945,225,128,660
run_08_lr1.75e-05_wd0.015_warm0.10,identity_hate,15741,76,44,97
run_09_lr2.00e-05_wd0.010_warm0.06,toxic,14186,243,241,1288
run_09_lr2.00e-05_wd0.010_warm0.06,severe_toxic,15711,87,67,93
run_09_lr2.00e-05_wd0.010_warm0.06,obscene,14959,154,115,730
run_09_lr2.00e-05_wd0.010_warm0.06,threat,15884,26,17,31
run_09_lr2.00e-05_wd0.010_warm0.06,insult,14953,217,137,651
run_09_lr2.00e-05_wd0.010_warm0.06,identity_hate,15740,77,44,97
run_10_lr2.00e-05_wd0.010_warm0.10,toxic,14228,201,279,1250
run_10_lr2.00e-05_wd0.010_warm0.10,severe_toxic,15710,88,65,95
run_10_lr2.00e-05_wd0.010_warm0.10,obscene,14984,129,131,714
run_10_lr2.00e-05_wd0.010_warm0.10,threat,15878,32,15,33
run_10_lr2.00e-05_wd0.010_warm0.10,insult,14959,211,141,647
run_10_lr2.00e-05_wd0.010_warm0.10,identity_hate,15740,77,45,96
run_11_lr2.00e-05_wd0.015_warm0.06,toxic,14180,249,241,1288
run_11_lr2.00e-05_wd0.015_warm0.06,severe_toxic,15717,81,68,92
run_11_lr2.00e-05_wd0.015_warm0.06,obscene,14982,131,134,711
run_11_lr2.00e-05_wd0.015_warm0.06,threat,15886,24,18,30
run_11_lr2.00e-05_wd0.015_warm0.06,insult,14920,250,114,674
run_11_lr2.00e-05_wd0.015_warm0.06,identity_hate,15720,97,34,107
run_12_lr2.00e-05_wd0.015_warm0.10,toxic,14210,219,269,1260
run_12_lr2.00e-05_wd0.015_warm0.10,severe_toxic,15722,76,73,87
run_12_lr2.00e-05_wd0.015_warm0.10,obscene,14982,131,130,715
run_12_lr2.00e-05_wd0.015_warm0.10,threat,15880,30,15,33
run_12_lr2.00e-05_wd0.015_warm0.10,insult,14960,210,138,650
run_12_lr2.00e-05_wd0.015_warm0.10,identity_hate,15744,73,46,95
run_13_lr2.50e-05_wd0.010_warm0.06,toxic,14181,248,241,1288
run_13_lr2.50e-05_wd0.010_warm0.06,severe_toxic,15725,73,73,87
run_13_lr2.50e-05_wd0.010_warm0.06,obscene,14985,128,134,711
run_13_lr2.50e-05_wd0.010_warm0.06,threat,15889,21,18,30
