train_size,train_fraction,max_train_samples,label,tn,fp,fn,tp
10000,0.06963157931385042,10000,toxic,14125,304,283,1246
10000,0.06963157931385042,10000,severe_toxic,15620,178,45,115
10000,0.06963157931385042,10000,obscene,14977,136,194,651
10000,0.06963157931385042,10000,threat,15843,67,34,14
10000,0.06963157931385042,10000,insult,14804,366,105,683
10000,0.06963157931385042,10000,identity_hate,15744,73,75,66
20000,0.13926315862770083,20000,toxic,14166,263,286,1243
20000,0.13926315862770083,20000,severe_toxic,15671,127,54,106
20000,0.13926315862770083,20000,obscene,14982,131,139,706
20000,0.13926315862770083,20000,threat,15853,57,30,18
20000,0.13926315862770083,20000,insult,14907,263,154,634
20000,0.13926315862770083,20000,identity_hate,15657,160,67,74
30000,0.20889473794155125,30000,toxic,14127,302,238,1291
30000,0.20889473794155125,30000,severe_toxic,15670,128,58,102
30000,0.20889473794155125,30000,obscene,14982,131,144,701
30000,0.20889473794155125,30000,threat,15896,14,34,14
30000,0.20889473794155125,30000,insult,14957,213,169,619
30000,0.20889473794155125,30000,identity_hate,15687,130,73,68
40000,0.27852631725540167,40000,toxic,14143,286,240,1289
40000,0.27852631725540167,40000,severe_toxic,15685,113,59,101
40000,0.27852631725540167,40000,obscene,14979,134,137,708
40000,0.27852631725540167,40000,threat,15876,34,25,23
40000,0.27852631725540167,40000,insult,14925,245,146,642
40000,0.27852631725540167,40000,identity_hate,15701,116,51,90
50000,0.3481578965692521,50000,toxic,14229,200,289,1240
50000,0.3481578965692521,50000,severe_toxic,15672,126,59,101
50000,0.3481578965692521,50000,obscene,14939,174,118,727
50000,0.3481578965692521,50000,threat,15899,11,24,24
50000,0.3481578965692521,50000,insult,14919,251,136,652
50000,0.3481578965692521,50000,identity_hate,15752,65,53,88
60000,0.4177894758831025,60000,toxic,14204,225,267,1262
60000,0.4177894758831025,60000,severe_toxic,15690,108,64,96
60000,0.4177894758831025,60000,obscene,14939,174,101,744
60000,0.4177894758831025,60000,threat,15885,25,18,30
60000,0.4177894758831025,60000,insult,14887,283,124,664
60000,0.4177894758831025,60000,identity_hate,15764,53,63,78
70000,0.48742105519695295,70000,toxic,14232,197,283,1246
70000,0.48742105519695295,70000,severe_toxic,15634,164,46,114
70000,0.48742105519695295,70000,obscene,14933,180,104,741
70000,0.48742105519695295,70000,threat,15896,14,23,25
70000,0.48742105519695295,70000,insult,14926,244,132,656
70000,0.48742105519695295,70000,identity_hate,15753,64,54,87
80000,0.5570526345108033,80000,toxic,14145,284,235,1294
80000,0.5570526345108033,80000,severe_toxic,15688,110,62,98
80000,0.5570526345108033,80000,obscene,14932,181,96,749
80000,0.5570526345108033,80000,threat,15895,15,21,27
80000,0.5570526345108033,80000,insult,14943,227,139,649
80000,0.5570526345108033,80000,identity_hate,15705,112,36,105
90000,0.6266842138246538,90000,toxic,14118,311,214,1315
90000,0.6266842138246538,90000,severe_toxic,15666,132,53,107
90000,0.6266842138246538,90000,obscene,14980,133,135,710
90000,0.6266842138246538,90000,threat,15897,13,21,27
90000,0.6266842138246538,90000,insult,14923,247,132,656
90000,0.6266842138246538,90000,identity_hate,15728,89,41,100
100000,0.6963157931385042,100000,toxic,14188,241,245,1284
100000,0.6963157931385042,100000,severe_toxic,15698,100,65,95
100000,0.6963157931385042,100000,obscene,14985,128,134,711
100000,0.6963157931385042,100000,threat,15901,9,24,24
100000,0.6963157931385042,100000,insult,14969,201,150,638
100000,0.6963157931385042,100000,identity_hate,15722,95,40,101
110000,0.7659473724523546,110000,toxic,14163,266,229,1300
110000,0.7659473724523546,110000,severe_toxic,15692,106,66,94
110000,0.7659473724523546,110000,obscene,14944,169,105,740
110000,0.7659473724523546,110000,threat,15870,40,9,39
110000,0.7659473724523546,110000,insult,14909,261,126,662
110000,0.7659473724523546,110000,identity_hate,15728,89,41,100
120000,0.835578951766205,120000,toxic,14236,193,277,1252
120000,0.835578951766205,120000,severe_toxic,15645,153,45,115
120000,0.835578951766205,120000,obscene,14967,146,119,726
120000,0.835578951766205,120000,threat,15898,12,19,29
120000,0.835578951766205,120000,insult,14956,214,142,646
120000,0.835578951766205,120000,identity_hate,15721,96,40,101
130000,0.9052105310800554,130000,toxic,14238,191,279,1250
130000,0.9052105310800554,130000,severe_toxic,15660,138,49,111
130000,0.9052105310800554,130000,obscene,14969,144,115,730
130000,0.9052105310800554,130000,threat,15867,43,9,39
130000,0.9052105310800554,130000,insult,14934,236,135,653
130000,0.9052105310800554,130000,identity_hate,15762,55,61,80
140000,0.9748421103939059,140000,toxic,14202,227,261,1268
140000,0.9748421103939059,140000,severe_toxic,15643,155,46,114
140000,0.9748421103939059,140000,obscene,14966,147,120,725
140000,0.9748421103939059,140000,threat,15889,21,16,32
140000,0.9748421103939059,140000,insult,14946,224,140,648
140000,0.9748421103939059,140000,identity_hate,15755,62,54,87
143613,1.0,143613,toxic,14178,251,237,1292
143613,1.0,143613,severe_toxic,15648,150,52,108
143613,1.0,143613,obscene,14967,146,112,733
143613,1.0,143613,threat,15881,29,13,35
143613,1.0,143613,insult,14929,241,131,657
143613,1.0,143613,identity_hate,15749,68,47,94
