run_id,label,tn,fp,fn,tp
run_01_lr1.50e-05_wd0.010_warm0.06,toxic,14240,189,287,1242
run_01_lr1.50e-05_wd0.010_warm0.06,severe_toxic,15769,29,116,44
run_01_lr1.50e-05_wd0.010_warm0.06,obscene,14969,144,128,717
run_01_lr1.50e-05_wd0.010_warm0.06,threat,15904,6,28,20
run_01_lr1.50e-05_wd0.010_warm0.06,insult,14997,173,185,603
run_01_lr1.50e-05_wd0.010_warm0.06,identity_hate,15800,17,94,47
run_02_lr1.50e-05_wd0.010_warm0.10,toxic,14247,182,295,1234
run_02_lr1.50e-05_wd0.010_warm0.10,severe_toxic,15776,22,119,41
run_02_lr1.50e-05_wd0.010_warm0.10,obscene,14982,131,133,712
run_02_lr1.50e-05_wd0.010_warm0.10,threat,15905,5,32,16
run_02_lr1.50e-05_wd0.010_warm0.10,insult,15000,170,193,595
run_02_lr1.50e-05_wd0.010_warm0.10,identity_hate,15798,19,91,50
run_03_lr1.50e-05_wd0.015_warm0.06,toxic,14250,179,291,1238
run_03_lr1.50e-05_wd0.015_warm0.06,severe_toxic,15772,26,118,42
run_03_lr1.50e-05_wd0.015_warm0.06,obscene,14964,149,127,718
run_03_lr1.50e-05_wd0.015_warm0.06,threat,15905,5,30,18
run_03_lr1.50e-05_wd0.015_warm0.06,insult,15002,168,189,599
run_03_lr1.50e-05_wd0.015_warm0.06,identity_hate,15796,21,91,50
run_04_lr1.50e-05_wd0.015_warm0.10,toxic,14240,189,284,1245
run_04_lr1.50e-05_wd0.015_warm0.10,severe_toxic,15775,23,114,46
run_04_lr1.50e-05_wd0.015_warm0.10,obscene,14976,137,131,714
run_04_lr1.50e-05_wd0.015_warm0.10,threat,15906,4,30,18
run_04_lr1.50e-05_wd0.015_warm0.10,insult,14993,177,178,610
run_04_lr1.50e-05_wd0.015_warm0.10,identity_hate,15803,14,95,46
run_05_lr1.75e-05_wd0.010_warm0.06,toxic,14255,174,302,1227
run_05_lr1.75e-05_wd0.010_warm0.06,severe_toxic,15774,24,118,42
run_05_lr1.75e-05_wd0.010_warm0.06,obscene,14979,134,137,708
run_05_lr1.75e-05_wd0.010_warm0.06,threat,15903,7,31,17
run_05_lr1.75e-05_wd0.010_warm0.06,insult,14993,177,179,609
run_05_lr1.75e-05_wd0.010_warm0.06,identity_hate,15799,18,95,46
run_06_lr1.75e-05_wd0.010_warm0.10,toxic,14246,183,297,1232
run_06_lr1.75e-05_wd0.010_warm0.10,severe_toxic,15778,20,121,39
run_06_lr1.75e-05_wd0.010_warm0.10,obscene,14986,127,134,711
run_06_lr1.75e-05_wd0.010_warm0.10,threat,15904,6,30,18
run_06_lr1.75e-05_wd0.010_warm0.10,insult,14993,177,178,610
run_06_lr1.75e-05_wd0.010_warm0.10,identity_hate,15798,19,94,47
run_07_lr1.75e-05_wd0.015_warm0.06,toxic,14265,164,307,1222
run_07_lr1.75e-05_wd0.015_warm0.06,severe_toxic,15775,23,117,43
run_07_lr1.75e-05_wd0.015_warm0.06,obscene,14984,129,137,708
run_07_lr1.75e-05_wd0.015_warm0.06,threat,15903,7,31,17
run_07_lr1.75e-05_wd0.015_warm0.06,insult,15002,168,188,600
run_07_lr1.75e-05_wd0.015_warm0.06,identity_hate,15803,14,95,46
run_08_lr1.75e-05_wd0.015_warm0.10,toxic,14257,172,307,1222
run_08_lr1.75e-05_wd0.015_warm0.10,severe_toxic,15772,26,116,44
run_08_lr1.75e-05_wd0.015_warm0.10,obscene,14979,134,138,707
run_08_lr1.75e-05_wd0.015_warm0.10,threat,15904,6,30,18
run_08_lr1.75e-05_wd0.015_warm0.10,insult,15002,168,185,603
run_08_lr1.75e-05_wd0.015_warm0.10,identity_hate,15798,19,95,46
run_09_lr2.00e-05_wd0.010_warm0.06,toxic,14267,162,313,1216
run_09_lr2.00e-05_wd0.010_warm0.06,severe_toxic,15782,16,122,38
run_09_lr2.00e-05_wd0.010_warm0.06,obscene,14992,121,141,704
run_09_lr2.00e-05_wd0.010_warm0.06,threat,15904,6,30,18
