train_size,train_fraction,max_train_samples,label,tn,fp,fn,tp
10000,0.1636982713462546,10000,toxic,13950,479,437,1092
10000,0.1636982713462546,10000,severe_toxic,15547,251,51,109
10000,0.1636982713462546,10000,obscene,14859,254,248,597
10000,0.1636982713462546,10000,threat,15900,10,34,14
10000,0.1636982713462546,10000,insult,14839,331,244,544
10000,0.1636982713462546,10000,identity_hate,15633,184,77,64
20000,0.3273965426925092,20000,toxic,14028,401,437,1092
20000,0.3273965426925092,20000,severe_toxic,15608,190,53,107
20000,0.3273965426925092,20000,obscene,14887,226,253,592
20000,0.3273965426925092,20000,threat,15893,17,32,16
20000,0.3273965426925092,20000,insult,14903,267,259,529
20000,0.3273965426925092,20000,identity_hate,15627,190,76,65
30000,0.49109481403876376,30000,toxic,13970,459,395,1134
30000,0.49109481403876376,30000,severe_toxic,15632,166,63,97
30000,0.49109481403876376,30000,obscene,14945,168,251,594
30000,0.49109481403876376,30000,threat,15880,30,28,20
30000,0.49109481403876376,30000,insult,14868,302,225,563
30000,0.49109481403876376,30000,identity_hate,15742,75,90,51
40000,0.6547930853850183,40000,toxic,14012,417,375,1154
40000,0.6547930853850183,40000,severe_toxic,15646,152,69,91
40000,0.6547930853850183,40000,obscene,14905,208,219,626
40000,0.6547930853850183,40000,threat,15880,30,27,21
40000,0.6547930853850183,40000,insult,14850,320,213,575
40000,0.6547930853850183,40000,identity_hate,15745,72,86,55
50000,0.8184913567312729,50000,toxic,14194,235,504,1025
50000,0.8184913567312729,50000,severe_toxic,15620,178,64,96
50000,0.8184913567312729,50000,obscene,14957,156,236,609
50000,0.8184913567312729,50000,threat,15888,22,29,19
50000,0.8184913567312729,50000,insult,14946,224,249,539
50000,0.8184913567312729,50000,identity_hate,15692,125,77,64
60000,0.9821896280775275,60000,toxic,14110,319,418,1111
60000,0.9821896280775275,60000,severe_toxic,15649,149,72,88
60000,0.9821896280775275,60000,obscene,14958,155,226,619
60000,0.9821896280775275,60000,threat,15890,20,30,18
60000,0.9821896280775275,60000,insult,14905,265,232,556
60000,0.9821896280775275,60000,identity_hate,15760,57,90,51
61088,1.0,61088,toxic,14159,270,468,1061
61088,1.0,61088,severe_toxic,15588,210,53,107
61088,1.0,61088,obscene,14944,169,223,622
61088,1.0,61088,threat,15887,23,29,19
61088,1.0,61088,insult,14912,258,234,554
61088,1.0,61088,identity_hate,15721,96,84,57
