loss_strategy,label,tn,fp,fn,tp
bce_no_pos_weight,toxic,14259,170,306,1223
bce_no_pos_weight,severe_toxic,15743,55,100,60
bce_no_pos_weight,obscene,15006,107,168,677
bce_no_pos_weight,threat,15905,5,34,14
bce_no_pos_weight,insult,14997,173,215,573
bce_no_pos_weight,identity_hate,15772,45,75,66
bce_pos_weight_clip20,toxic,13630,799,93,1436
bce_pos_weight_clip20,severe_toxic,15489,309,18,142
bce_pos_weight_clip20,obscene,14759,354,50,795
bce_pos_weight_clip20,threat,15846,64,9,39
bce_pos_weight_clip20,insult,14591,579,51,737
bce_pos_weight_clip20,identity_hate,15607,210,22,119
focal_gamma1,toxic,14239,190,306,1223
focal_gamma1,severe_toxic,15742,56,91,69
focal_gamma1,obscene,14951,162,118,727
focal_gamma1,threat,15904,6,29,19
focal_gamma1,insult,15016,154,221,567
focal_gamma1,identity_hate,15795,22,86,55
focal_gamma2,toxic,14221,208,306,1223
focal_gamma2,severe_toxic,15724,74,90,70
focal_gamma2,obscene,14987,126,153,692
focal_gamma2,threat,15901,9,27,21
focal_gamma2,insult,14989,181,202,586
focal_gamma2,identity_hate,15770,47,70,71
focal_gamma3,toxic,14223,206,291,1238
focal_gamma3,severe_toxic,15759,39,112,48
focal_gamma3,obscene,14981,132,136,709
focal_gamma3,threat,15891,19,20,28
focal_gamma3,insult,14972,198,168,620
focal_gamma3,identity_hate,15766,51,62,79
