train_size,train_fraction,max_train_samples,label,tn,fp,fn,tp
10000,0.06963157931385042,10000,toxic,14152,277,311,1218
10000,0.06963157931385042,10000,severe_toxic,15778,20,131,29
10000,0.06963157931385042,10000,obscene,14973,140,192,653
10000,0.06963157931385042,10000,threat,15910,0,48,0
10000,0.06963157931385042,10000,insult,14977,193,240,548
10000,0.06963157931385042,10000,identity_hate,15814,3,133,8
20000,0.13926315862770083,20000,toxic,14170,259,291,1238
20000,0.13926315862770083,20000,severe_toxic,15761,37,110,50
20000,0.13926315862770083,20000,obscene,15013,100,172,673
20000,0.13926315862770083,20000,threat,15910,0,47,1
20000,0.13926315862770083,20000,insult,14972,198,205,583
20000,0.13926315862770083,20000,identity_hate,15802,15,116,25
30000,0.20889473794155125,30000,toxic,14189,240,291,1238
30000,0.20889473794155125,30000,severe_toxic,15798,0,160,0
30000,0.20889473794155125,30000,obscene,14982,131,144,701
30000,0.20889473794155125,30000,threat,15910,0,48,0
30000,0.20889473794155125,30000,insult,15033,137,238,550
30000,0.20889473794155125,30000,identity_hate,15817,0,141,0
40000,0.27852631725540167,40000,toxic,14147,282,246,1283
40000,0.27852631725540167,40000,severe_toxic,15720,78,79,81
40000,0.27852631725540167,40000,obscene,14912,201,102,743
40000,0.27852631725540167,40000,threat,15908,2,43,5
40000,0.27852631725540167,40000,insult,14912,258,145,643
40000,0.27852631725540167,40000,identity_hate,15750,67,75,66
50000,0.3481578965692521,50000,toxic,14191,238,267,1262
50000,0.3481578965692521,50000,severe_toxic,15737,61,94,66
50000,0.3481578965692521,50000,obscene,14947,166,128,717
50000,0.3481578965692521,50000,threat,15886,24,21,27
50000,0.3481578965692521,50000,insult,14984,186,185,603
50000,0.3481578965692521,50000,identity_hate,15779,38,81,60
60000,0.4177894758831025,60000,toxic,14146,283,238,1291
60000,0.4177894758831025,60000,severe_toxic,15738,60,93,67
60000,0.4177894758831025,60000,obscene,14935,178,100,745
60000,0.4177894758831025,60000,threat,15885,25,20,28
60000,0.4177894758831025,60000,insult,14985,185,205,583
60000,0.4177894758831025,60000,identity_hate,15776,41,73,68
70000,0.48742105519695295,70000,toxic,14175,254,252,1277
70000,0.48742105519695295,70000,severe_toxic,15746,52,99,61
70000,0.48742105519695295,70000,obscene,14936,177,110,735
70000,0.48742105519695295,70000,threat,15898,12,25,23
70000,0.48742105519695295,70000,insult,14954,216,153,635
70000,0.48742105519695295,70000,identity_hate,15788,29,89,52
80000,0.5570526345108033,80000,toxic,14171,258,255,1274
80000,0.5570526345108033,80000,severe_toxic,15706,92,74,86
80000,0.5570526345108033,80000,obscene,14966,147,135,710
80000,0.5570526345108033,80000,threat,15889,21,20,28
80000,0.5570526345108033,80000,insult,15027,143,212,576
80000,0.5570526345108033,80000,identity_hate,15790,27,96,45
90000,0.6266842138246538,90000,toxic,14163,266,250,1279
90000,0.6266842138246538,90000,severe_toxic,15741,57,95,65
90000,0.6266842138246538,90000,obscene,14975,138,133,712
90000,0.6266842138246538,90000,threat,15891,19,21,27
90000,0.6266842138246538,90000,insult,14969,201,168,620
90000,0.6266842138246538,90000,identity_hate,15739,78,51,90
100000,0.6963157931385042,100000,toxic,14259,170,317,1212
100000,0.6963157931385042,100000,severe_toxic,15762,36,118,42
100000,0.6963157931385042,100000,obscene,14983,130,133,712
100000,0.6963157931385042,100000,threat,15877,33,18,30
100000,0.6963157931385042,100000,insult,14999,171,189,599
100000,0.6963157931385042,100000,identity_hate,15770,47,75,66
110000,0.7659473724523546,110000,toxic,14101,328,199,1330
110000,0.7659473724523546,110000,severe_toxic,15712,86,82,78
110000,0.7659473724523546,110000,obscene,14920,193,93,752
110000,0.7659473724523546,110000,threat,15893,17,21,27
110000,0.7659473724523546,110000,insult,14890,280,118,670
110000,0.7659473724523546,110000,identity_hate,15786,31,85,56
120000,0.835578951766205,120000,toxic,14250,179,289,1240
120000,0.835578951766205,120000,severe_toxic,15775,23,117,43
120000,0.835578951766205,120000,obscene,14999,114,150,695
120000,0.835578951766205,120000,threat,15894,16,19,29
120000,0.835578951766205,120000,insult,15002,168,198,590
120000,0.835578951766205,120000,identity_hate,15784,33,80,61
130000,0.9052105310800554,130000,toxic,14071,358,182,1347
130000,0.9052105310800554,130000,severe_toxic,15766,32,114,46
130000,0.9052105310800554,130000,obscene,14919,194,97,748
130000,0.9052105310800554,130000,threat,15904,6,29,19
130000,0.9052105310800554,130000,insult,14951,219,147,641
130000,0.9052105310800554,130000,identity_hate,15754,63,60,81
140000,0.9748421103939059,140000,toxic,14282,147,333,1196
140000,0.9748421103939059,140000,severe_toxic,15742,56,93,67
140000,0.9748421103939059,140000,obscene,14904,209,88,757
140000,0.9748421103939059,140000,threat,15895,15,20,28
140000,0.9748421103939059,140000,insult,14976,194,166,622
140000,0.9748421103939059,140000,identity_hate,15775,42,72,69
143613,1.0,143613,toxic,14097,332,193,1336
143613,1.0,143613,severe_toxic,15716,82,90,70
143613,1.0,143613,obscene,14952,161,105,740
143613,1.0,143613,threat,15895,15,24,24
143613,1.0,143613,insult,14891,279,116,672
143613,1.0,143613,identity_hate,15760,57,55,86
