run_id,label,best_threshold,best_f1_on_val
run_01_lr1.50e-05_wd0.010_warm0.06,toxic,0.53,0.8395061728395061
run_01_lr1.50e-05_wd0.010_warm0.06,severe_toxic,0.3,0.5548780487804879
run_01_lr1.50e-05_wd0.010_warm0.06,obscene,0.54,0.8416666666666667
run_01_lr1.50e-05_wd0.010_warm0.06,threat,0.13,0.603448275862069
run_01_lr1.50e-05_wd0.010_warm0.06,insult,0.34,0.7882005899705015
run_01_lr1.50e-05_wd0.010_warm0.06,identity_hate,0.12,0.6235294117647059
run_02_lr1.50e-05_wd0.010_warm0.10,toxic,0.45,0.8389463154384795
run_02_lr1.50e-05_wd0.010_warm0.10,severe_toxic,0.29,0.5443425076452599
run_02_lr1.50e-05_wd0.010_warm0.10,obscene,0.48,0.8458823529411764
run_02_lr1.50e-05_wd0.010_warm0.10,threat,0.08,0.5901639344262295
run_02_lr1.50e-05_wd0.010_warm0.10,insult,0.27,0.7828571428571428
run_02_lr1.50e-05_wd0.010_warm0.10,identity_hate,0.13,0.6139817629179332
run_03_lr1.50e-05_wd0.015_warm0.06,toxic,0.48,0.8404433993953645
run_03_lr1.50e-05_wd0.015_warm0.06,severe_toxic,0.29,0.5427728613569321
run_03_lr1.50e-05_wd0.015_warm0.06,obscene,0.62,0.8431372549019608
run_03_lr1.50e-05_wd0.015_warm0.06,threat,0.13,0.6194690265486725
run_03_lr1.50e-05_wd0.015_warm0.06,insult,0.33,0.7908073070123748
run_03_lr1.50e-05_wd0.015_warm0.06,identity_hate,0.17,0.6179401993355482
run_04_lr1.50e-05_wd0.015_warm0.10,toxic,0.49,0.8417508417508418
run_04_lr1.50e-05_wd0.015_warm0.10,severe_toxic,0.29,0.5571847507331378
run_04_lr1.50e-05_wd0.015_warm0.10,obscene,0.46,0.8461538461538461
run_04_lr1.50e-05_wd0.015_warm0.10,threat,0.14,0.6071428571428571
run_04_lr1.50e-05_wd0.015_warm0.10,insult,0.35,0.7864768683274022
run_04_lr1.50e-05_wd0.015_warm0.10,identity_hate,0.2,0.6062717770034843
run_05_lr1.75e-05_wd0.010_warm0.06,toxic,0.47,0.8399056285810583
run_05_lr1.75e-05_wd0.010_warm0.06,severe_toxic,0.18,0.5454545454545454
run_05_lr1.75e-05_wd0.010_warm0.06,obscene,0.53,0.8417910447761194
run_05_lr1.75e-05_wd0.010_warm0.06,threat,0.3,0.5934065934065934
run_05_lr1.75e-05_wd0.010_warm0.06,insult,0.33,0.7875220718069452
run_05_lr1.75e-05_wd0.010_warm0.06,identity_hate,0.16,0.6153846153846154
run_06_lr1.75e-05_wd0.010_warm0.10,toxic,0.45,0.8404255319148937
run_06_lr1.75e-05_wd0.010_warm0.10,severe_toxic,0.29,0.5460122699386503
run_06_lr1.75e-05_wd0.010_warm0.10,obscene,0.48,0.845020624631703
run_06_lr1.75e-05_wd0.010_warm0.10,threat,0.17,0.591304347826087
run_06_lr1.75e-05_wd0.010_warm0.10,insult,0.36,0.7907801418439716
run_06_lr1.75e-05_wd0.010_warm0.10,identity_hate,0.1,0.6101694915254238
run_07_lr1.75e-05_wd0.015_warm0.06,toxic,0.47,0.8402848423194303
run_07_lr1.75e-05_wd0.015_warm0.06,severe_toxic,0.29,0.5565749235474006
run_07_lr1.75e-05_wd0.015_warm0.06,obscene,0.51,0.8429850746268657
run_07_lr1.75e-05_wd0.015_warm0.06,threat,0.26,0.6041666666666666
run_07_lr1.75e-05_wd0.015_warm0.06,insult,0.32,0.7863046044864227
run_07_lr1.75e-05_wd0.015_warm0.06,identity_hate,0.1,0.6149253731343284
