loss_strategy,label,tn,fp,fn,tp
bce_no_pos_weight,toxic,14198,231,247,1282
bce_no_pos_weight,severe_toxic,15648,150,45,115
bce_no_pos_weight,obscene,14977,136,132,713
bce_no_pos_weight,threat,15894,16,20,28
bce_no_pos_weight,insult,14893,277,115,673
bce_no_pos_weight,identity_hate,15722,95,41,100
bce_pos_weight_clip20,toxic,14100,329,210,1319
bce_pos_weight_clip20,severe_toxic,15628,170,40,120
bce_pos_weight_clip20,obscene,14957,156,125,720
bce_pos_weight_clip20,threat,15880,30,17,31
bce_pos_weight_clip20,insult,14925,245,126,662
bce_pos_weight_clip20,identity_hate,15759,58,55,86
focal_gamma1,toxic,14202,227,274,1255
focal_gamma1,severe_toxic,15643,155,46,114
focal_gamma1,obscene,15004,109,149,696
focal_gamma1,threat,15896,14,22,26
focal_gamma1,insult,14973,197,158,630
focal_gamma1,identity_hate,15692,125,34,107
focal_gamma2,toxic,14240,189,313,1216
focal_gamma2,severe_toxic,15590,208,35,125
focal_gamma2,obscene,14970,143,133,712
focal_gamma2,threat,15884,26,17,31
focal_gamma2,insult,14881,289,112,676
focal_gamma2,identity_hate,15734,83,48,93
focal_gamma3,toxic,14204,225,265,1264
focal_gamma3,severe_toxic,15686,112,61,99
focal_gamma3,obscene,14952,161,109,736
focal_gamma3,threat,15891,19,20,28
focal_gamma3,insult,14934,236,137,651
focal_gamma3,identity_hate,15720,97,40,101
